"Upcoming Events","&Eacute;v&eacute;nements futurs"
"View all events","Voir tous les &eacute;v&eacute;nements"
"Events Calendar","Calendrier d'&eacute;v&eacute;nements"
"Number of months to display","Nombres de mois &agrave; afficher"
"CMS Page to view other events","Page CMS pour voir les autres &eacute;v&eacute;nements"
"Details to be displayed","Page de d&eacute;tails"
"Event start date","Date de d&eacute;but"
"Event stop date","Date de fin"
"Manage Events Calendar","G&eacute;rer les &eacute;v&eacute;nements du calendrier"
"Add New Event","Ajouter un nouvel &eacute;v&eacute;nement"
"Manage Event","G&eacute;rer l'&eacute;v&eacute;nement"
"Event Information","Information sur l'&eacute;v&eacute;nement"
"Edit Event","Modifier l'&eacute;v&eacute;nement"
"Event Info","Information sur l'&eacute;v&eacute;nement"
"Save Event","Enregister l'&eacute;v&eacute;nement"
"Delete Event","Supprimer l'&eacute;v&eacute;nement"
"This information will be shown to visitors to display the event details.","Cette information sera montr&eacute;e aux visiteurs pour afficher les d&eacute;tails de l'&eacute;v&eacute;nements."
"Leave blank to use CMS page.","Laissez vide pour utiliser la page CMS."
